index,binder_name,page_number,slot_number,card_id,card_name,set_id,set_name,card_number,card_market_value
1-6-9,1,6,9,base1-54,Metapod,base1,Base,54,0.74
1-7-1,1,7,1,base1-55,Nidoran ♂,base1,Base,55,0.64
1-7-2,1,7,2,base1-56,Onix,base1,Base,56,0.68
1-7-3,1,7,3,base1-57,Pidgey,base1,Base,57,0.74
1-7-4,1,7,4,base1-58,Pikachu,base1,Base,58,3.28
1-7-5,1,7,5,base1-59,Poliwag,base1,Base,59,0.35
1-7-6,1,7,6,base1-60,Ponyta,base1,Base,60,0.42
1-7-7,1,7,7,base1-61,Rattata,base1,Base,61,0.43
1-7-8,1,7,8,base1-62,Sandshrew,base1,Base,62,0.66
1-7-9,1,7,9,base1-63,Squirtle,base1,Base,63,3.08
1-8-1,1,8,1,base1-64,Starmie,base1,Base,64,0.46
1-8-2,1,8,2,base1-65,Staryu,base1,Base,65,0.33
1-8-3,1,8,3,base1-66,Tangela,base1,Base,66,0.51
1-8-4,1,8,4,base1-67,Voltorb,base1,Base,67,1.4
1-8-5,1,8,5,base1-68,Vulpix,base1,Base,68,0.49
1-8-6,1,8,6,base1-69,Weedle,base1,Base,69,0.38
1-8-7,1,8,7,base1-70,Clefairy Doll,base1,Base,70,5.39
1-8-8,1,8,8,base1-71,Computer Search,base1,Base,71,2.9
1-8-9,1,8,9,base1-72,Devolution Spray,base1,Base,72,4.4
1-9-1,1,9,1,base1-73,Impostor Professor Oak,base1,Base,73,5.7
1-9-2,1,9,2,base1-74,Item Finder,base1,Base,74,8.42
1-9-3,1,9,3,base1-75,Lass,base1,Base,75,2.38
1-9-4,1,9,4,base1-76,Pokémon Breeder,base1,Base,76,6.56
1-9-5,1,9,5,base1-77,Pokémon Trader,base1,Base,77,4.29
1-9-6,1,9,6,base1-78,Scoop Up,base1,Base,78,6.99
1-9-7,1,9,7,base1-79,Super Energy Removal,base1,Base,79,3.29
1-9-8,1,9,8,base1-80,Defender,base1,Base,80,1.31
1-9-9,1,9,9,base1-81,Energy Retrieval,base1,Base,81,0.71
1-10-1,1,10,1,base1-82,Full Heal,base1,Base,82,1.19
1-10-2,1,10,2,base1-83,Maintenance,base1,Base,83,2.18
1-10-3,1,10,3,base1-84,PlusPower,base1,Base,84,0.57
1-10-4,1,10,4,base1-85,Pokémon Center,base1,Base,85,1.6
1-10-5,1,10,5,base1-86,Pokémon Flute,base1,Base,86,2.51
1-10-6,1,10,6,base1-87,Pokédex,base1,Base,87,0.46
1-10-7,1,10,7,base1-88,Professor Oak,base1,Base,88,1.34
1-10-8,1,10,8,base1-89,Revive,base1,Base,89,2.16
1-10-9,1,10,9,base1-90,Super Potion,base1,Base,90,0.29
1-11-1,1,11,1,base1-91,Bill,base1,Base,91,0.33
1-11-2,1,11,2,base1-92,Energy Removal,base1,Base,92,0.39
1-11-3,1,11,3,base1-93,Gust of Wind,base1,Base,93,0.25
1-11-4,1,11,4,base1-94,Potion,base1,Base,94,0.19
1-11-5,1,11,5,base1-95,Switch,base1,Base,95,0.3
1-11-6,1,11,6,base1-96,Double Colorless Energy,base1,Base,96,5.91
1-11-7,1,11,7,base1-97,Fighting Energy,base1,Base,97,0.32
1-11-8,1,11,8,base1-98,Fire Energy,base1,Base,98,0.27
1-11-9,1,11,9,base1-99,Grass Energy,base1,Base,99,0.28
1-12-1,1,12,1,base1-100,Lightning Energy,base1,Base,100,0.31
1-12-2,1,12,2,base1-101,Psychic Energy,base1,Base,101,0.36
1-12-3,1,12,3,base1-102,Water Energy,base1,Base,102,0.28
1-12-4,1,12,4,base1-4,Charizard,base1,Base,4,458.43
1-12-5,1,12,5,base1-2,Blastoise,base1,Base,2,158.39
1-12-6,1,12,6,base1-15,Venusaur,base1,Base,15,119.49
1-12-7,1,12,7,base1-10,Mewtwo,base1,Base,10,38.79
1-12-8,1,12,8,base1-16,Zapdos,base1,Base,16,36.66
1-12-9,1,12,9,base1-14,Raichu,base1,Base,14,43.45
1-13-1,1,13,1,base1-1,Alakazam,base1,Base,1,54.74
1-13-2,1,13,2,base1-3,Chansey,base1,Base,3,28.57
1-13-3,1,13,3,base1-12,Ninetales,base1,Base,12,23.15
1-13-4,1,13,4,base1-8,Machamp,base1,Base,8,0.0
1-13-5,1,13,5,base1-4,Charizard,base1,Base,4,458.43
1-13-6,1,13,6,base1-10,Mewtwo,base1,Base,10,38.79
1-13-7,1,13,7,base1-58,Pikachu,base1,Base,58,3.28
1-13-8,1,13,8,base1-44,Bulbasaur,base1,Base,44,1.85
1-13-9,1,13,9,base1-46,Charmander,base1,Base,46,1.59
1-14-1,1,14,1,base1-63,Squirtle,base1,Base,63,3.08
1-14-2,1,14,2,base1-57,Pidgey,base1,Base,57,0.74
1-14-3,1,14,3,base1-61,Rattata,base1,Base,61,0.43
1-14-4,1,14,4,base1-5,Clefairy,base1,Base,5,26.02
1-14-5,1,14,5,base1-31,Jynx,base1,Base,31,0.72
1-14-6,1,14,6,base1-35,Magikarp,base1,Base,35,1.98
1-14-7,1,14,7,base1-43,Abra,base1,Base,43,0.58
1-14-8,1,14,8,base1-52,Machop,base1,Base,52,0.32
1-14-9,1,14,9,base1-53,Magnemite,base1,Base,53,0.52
1-15-1,1,15,1,base1-51,Koffing,base1,Base,51,0.41
1-15-2,1,15,2,base1-50,Gastly,base1,Base,50,0.55
1-15-3,1,15,3,base1-68,Vulpix,base1,Base,68,0.49
1-15-4,1,15,4,base1-60,Ponyta,base1,Base,60,0.42
1-15-5,1,15,5,base1-49,Drowzee,base1,Base,49,0.42
1-15-6,1,15,6,base1-47,Diglett,base1,Base,47,0.43
1-15-7,1,15,7,base1-69,Weedle,base1,Base,69,0.38
1-15-8,1,15,8,base1-45,Caterpie,base1,Base,45,0.86
1-15-9,1,15,9,base1-55,Nidoran ♂,base1,Base,55,0.64
1-16-1,1,16,1,base1-59,Poliwag,base1,Base,59,0.35
1-16-2,1,16,2,base1-38,Poliwhirl,base1,Base,38,1.38
1-16-3,1,16,3,base1-30,Ivysaur,base1,Base,30,2.15
1-16-4,1,16,4,base1-42,Wartortle,base1,Base,42,2.53
1-16-5,1,16,5,base1-24,Charmeleon,base1,Base,24,1.78
1-16-6,1,16,6,base1-32,Kadabra,base1,Base,32,1.39
1-16-7,1,16,7,base1-34,Machoke,base1,Base,34,0.63
1-16-8,1,16,8,base1-33,Kakuna,base1,Base,33,1.03
1-16-9,1,16,9,base1-54,Metapod,base1,Base,54,0.74
1-17-1,1,17,1,base1-18,Dragonair,base1,Base,18,13.43
1-17-2,1,17,2,base1-26,Dratini,base1,Base,26,1.72
1-17-3,1,17,3,base1-28,Growlithe,base1,Base,28,1.01
1-17-4,1,17,4,base1-23,Arcanine,base1,Base,23,2.81
1-17-5,1,17,5,base1-21,Electrode,base1,Base,21,6.87
1-17-6,1,17,6,base1-20,Electabuzz,base1,Base,20,7.36
1-17-7,1,17,7,base1-64,Starmie,base1,Base,64,0.46
1-17-8,1,17,8,base1-65,Staryu,base1,Base,65,0.33
1-17-9,1,17,9,base1-96,Double Colorless Energy,base1,Base,96,5.91
1-18-1,1,18,1,base1-88,Professor Oak,base1,Base,88,1.34
1-18-2,1,18,2,base1-91,Bill,base1,Base,91,0.33
1-18-3,1,18,3,base1-92,Energy Removal,base1,Base,92,0.39
1-18-4,1,18,4,base1-87,Pokédex,base1,Base,87,0.46
1-18-5,1,18,5,base1-95,Switch,base1,Base,95,0.3
1-18-6,1,18,6,base1-94,Potion,base1,Base,94,0.19
1-18-7,1,18,7,base1-90,Super Potion,base1,Base,90,0.29
1-18-8,1,18,8,base1-85,Pokémon Center,base1,Base,85,1.6
1-18-9,1,18,9,base1-81,Energy Retrieval,base1,Base,81,0.71
1-19-1,1,19,1,base1-98,Fire Energy,base1,Base,98,0.27
1-19-2,1,19,2,base1-100,Lightning Energy,base1,Base,100,0.31
1-19-3,1,19,3,base1-102,Water Energy,base1,Base,102,0.28
1-19-4,1,19,4,base1-99,Grass Energy,base1,Base,99,0.28
1-19-5,1,19,5,base1-101,Psychic Energy,base1,Base,101,0.36
1-19-6,1,19,6,base1-97,Fighting Energy,base1,Base,97,0.32
1-19-7,1,19,7,base1-96,Double Colorless Energy,base1,Base,96,5.91
1-19-8,1,19,8,base1-4,Charizard,base1,Base,4,458.43
1-19-9,1,19,9,base1-2,Blastoise,base1,Base,2,158.39
1-20-1,1,20,1,base1-15,Venusaur,base1,Base,15,119.49
1-20-2,1,20,2,base1-10,Mewtwo,base1,Base,10,38.79
1-20-3,1,20,3,base1-16,Zapdos,base1,Base,16,36.66
1-20-4,1,20,4,base1-6,Gyarados,base1,Base,6,32.77
1-20-5,1,20,5,base1-13,Poliwrath,base1,Base,13,20.71
1-20-6,1,20,6,base1-11,Nidoking,base1,Base,11,28.74
1-20-7,1,20,7,base1-7,Hitmonchan,base1,Base,7,18.59
1-20-8,1,20,8,base1-9,Magneton,base1,Base,9,20.41
1-20-9,1,20,9,base1-3,Chansey,base1,Base,3,28.57
2-1-1,2,1,1,base4-1,Alakazam,,NOT_FOUND,,0.0
2-1-2,2,1,2,base4-2,Blastoise,,NOT_FOUND,,0.0
2-1-3,2,1,3,base4-3,Chansey,,NOT_FOUND,,0.0
2-1-4,2,1,4,base4-4,Charizard,,NOT_FOUND,,0.0
2-1-5,2,1,5,base4-5,Clefable,,NOT_FOUND,,0.0
2-1-6,2,1,6,base4-6,Clefairy,,NOT_FOUND,,0.0
2-1-7,2,1,7,base4-7,Gyarados,,NOT_FOUND,,0.0
2-1-8,2,1,8,base4-8,Hitmonchan,,NOT_FOUND,,0.0
2-1-9,2,1,9,base4-9,Magneton,,NOT_FOUND,,0.0
2-2-1,2,2,1,base4-10,Mewtwo,,NOT_FOUND,,0.0
2-2-2,2,2,2,base4-11,Nidoking,,NOT_FOUND,,0.0
2-2-3,2,2,3,base4-12,Nidoqueen,,NOT_FOUND,,0.0
2-2-4,2,2,4,base4-13,Ninetales,,NOT_FOUND,,0.0
2-2-5,2,2,5,base4-14,Pidgeot,,NOT_FOUND,,0.0
2-2-6,2,2,6,base4-15,Poliwrath,,NOT_FOUND,,0.0
2-2-7,2,2,7,base4-16,Raichu,,NOT_FOUND,,0.0
2-2-8,2,2,8,base4-17,Scyther,,NOT_FOUND,,0.0
2-2-9,2,2,9,base4-18,Venusaur,,NOT_FOUND,,0.0
2-3-1,2,3,1,base4-19,Wigglytuff,,NOT_FOUND,,0.0
2-3-2,2,3,2,base4-20,Zapdos,,NOT_FOUND,,0.0
2-3-3,2,3,3,base4-21,Beedrill,,NOT_FOUND,,0.0
2-3-4,2,3,4,base4-22,Dragonair,,NOT_FOUND,,0.0
2-3-5,2,3,5,base4-23,Dugtrio,,NOT_FOUND,,0.0
2-3-6,2,3,6,base4-24,Electabuzz,,NOT_FOUND,,0.0
2-3-7,2,3,7,base4-25,Electrode,,NOT_FOUND,,0.0
2-3-8,2,3,8,base4-26,Kangaskhan,,NOT_FOUND,,0.0
2-3-9,2,3,9,base4-27,Mr. Mime,,NOT_FOUND,,0.0
2-4-1,2,4,1,base4-28,Pidgeotto,,NOT_FOUND,,0.0
2-4-2,2,4,2,base4-29,Pinsir,,NOT_FOUND,,0.0
2-4-3,2,4,3,base4-30,Snorlax,,NOT_FOUND,,0.0
2-4-4,2,4,4,base4-31,Venomoth,,NOT_FOUND,,0.0
2-4-5,2,4,5,base4-32,Victreebel,,NOT_FOUND,,0.0
2-4-6,2,4,6,base4-33,Arcanine,,NOT_FOUND,,0.0
2-4-7,2,4,7,base4-34,Butterfree,,NOT_FOUND,,0.0
2-4-8,2,4,8,base4-35,Charmeleon,,NOT_FOUND,,0.0
2-4-9,2,4,9,base4-36,Dewgong,,NOT_FOUND,,0.0
2-5-1,2,5,1,base4-37,Dodrio,,NOT_FOUND,,0.0
2-5-2,2,5,2,base4-38,Dratini,,NOT_FOUND,,0.0
2-5-3,2,5,3,base4-39,Exeggutor,,NOT_FOUND,,0.0
2-5-4,2,5,4,base4-40,Farfetch'd,,NOT_FOUND,,0.0
2-5-5,2,5,5,base4-41,Fearow,,NOT_FOUND,,0.0
2-5-6,2,5,6,base4-42,Growlithe,,NOT_FOUND,,0.0
2-5-7,2,5,7,base4-43,Haunter,,NOT_FOUND,,0.0
2-5-8,2,5,8,base4-44,Ivysaur,,NOT_FOUND,,0.0
2-5-9,2,5,9,base4-45,Jynx,,NOT_FOUND,,0.0
2-6-1,2,6,1,base4-46,Kadabra,,NOT_FOUND,,0.0
2-6-2,2,6,2,base4-47,Kakuna,,NOT_FOUND,,0.0
2-6-3,2,6,3,base4-48,Lickitung,,NOT_FOUND,,0.0
2-6-4,2,6,4,base4-49,Machoke,,NOT_FOUND,,0.0
2-6-5,2,6,5,base4-50,Magikarp,,NOT_FOUND,,0.0
2-6-6,2,6,6,base4-51,Magmar,,NOT_FOUND,,0.0
2-6-7,2,6,7,base4-52,Marowak,,NOT_FOUND,,0.0
2-6-8,2,6,8,base4-53,Nidorina,,NOT_FOUND,,0.0
2-6-9,2,6,9,base4-54,Nidorino,,NOT_FOUND,,0.0
2-7-1,2,7,1,base4-55,Parasect,,NOT_FOUND,,0.0
2-7-2,2,7,2,base4-56,Persian,,NOT_FOUND,,0.0
2-7-3,2,7,3,base4-57,Poliwhirl,,NOT_FOUND,,0.0
2-7-4,2,7,4,base4-58,Raticate,,NOT_FOUND,,0.0
2-7-5,2,7,5,base4-59,Rhydon,,NOT_FOUND,,0.0
2-7-6,2,7,6,base4-60,Seaking,,NOT_FOUND,,0.0
2-7-7,2,7,7,base4-61,Seel,,NOT_FOUND,,0.0
2-7-8,2,7,8,base4-62,Tauros,,NOT_FOUND,,0.0
2-7-9,2,7,9,base4-63,Wartortle,,NOT_FOUND,,0.0
2-8-1,2,8,1,base4-64,Weepinbell,,NOT_FOUND,,0.0
2-8-2,2,8,2,base4-65,Abra,,NOT_FOUND,,0.0
2-8-3,2,8,3,base4-66,Bellsprout,,NOT_FOUND,,0.0
2-8-4,2,8,4,base4-67,Bulbasaur,,NOT_FOUND,,0.0
2-8-5,2,8,5,base4-68,Caterpie,,NOT_FOUND,,0.0
2-8-6,2,8,6,base4-69,Charmander,,NOT_FOUND,,0.0
2-8-7,2,8,7,base4-70,Cubone,,NOT_FOUND,,0.0
2-8-8,2,8,8,base4-71,Diglett,,NOT_FOUND,,0.0
2-8-9,2,8,9,base4-72,Doduo,,NOT_FOUND,,0.0
2-9-1,2,9,1,base4-73,Drowzee,,NOT_FOUND,,0.0
2-9-2,2,9,2,base4-74,Exeggcute,,NOT_FOUND,,0.0
2-9-3,2,9,3,base4-75,Gastly,,NOT_FOUND,,0.0
2-9-4,2,9,4,base4-76,Goldeen,,NOT_FOUND,,0.0
2-9-5,2,9,5,base4-77,Jigglypuff,,NOT_FOUND,,0.0
2-9-6,2,9,6,base4-78,Machop,,NOT_FOUND,,0.0
2-9-7,2,9,7,base4-79,Magnemite,,NOT_FOUND,,0.0
2-9-8,2,9,8,base4-80,Meowth,,NOT_FOUND,,0.0
2-9-9,2,9,9,base4-81,Metapod,,NOT_FOUND,,0.0
2-10-1,2,10,1,base4-82,Nidoran ♀,,NOT_FOUND,,0.0
2-10-2,2,10,2,base4-83,Nidoran ♂,,NOT_FOUND,,0.0
2-10-3,2,10,3,base4-84,Onix,,NOT_FOUND,,0.0
2-10-4,2,10,4,base4-85,Paras,,NOT_FOUND,,0.0
2-10-5,2,10,5,base4-86,Pidgey,,NOT_FOUND,,0.0
2-10-6,2,10,6,base4-87,Pikachu,,NOT_FOUND,,0.0
2-10-7,2,10,7,base4-88,Poliwag,,NOT_FOUND,,0.0
2-10-8,2,10,8,base4-89,Rattata,,NOT_FOUND,,0.0
2-10-9,2,10,9,base4-90,Rhyhorn,,NOT_FOUND,,0.0
2-11-1,2,11,1,base4-91,Sandshrew,,NOT_FOUND,,0.0
2-11-2,2,11,2,base4-92,Spearow,,NOT_FOUND,,0.0
2-11-3,2,11,3,base4-93,Squirtle,,NOT_FOUND,,0.0
2-11-4,2,11,4,base4-94,Starmie,,NOT_FOUND,,0.0
2-11-5,2,11,5,base4-95,Staryu,,NOT_FOUND,,0.0
2-11-6,2,11,6,base4-96,Tangela,,NOT_FOUND,,0.0
2-11-7,2,11,7,base4-97,Venonat,,NOT_FOUND,,0.0
2-11-8,2,11,8,base4-98,Voltorb,,NOT_FOUND,,0.0
2-11-9,2,11,9,base4-99,Vulpix,,NOT_FOUND,,0.0
2-12-1,2,12,1,base4-100,Weedle,,NOT_FOUND,,0.0
2-12-2,2,12,2,base4-101,Computer Search,,NOT_FOUND,,0.0
2-12-3,2,12,3,base4-102,Imposter Professor Oak,,NOT_FOUND,,0.0
2-12-4,2,12,4,base4-103,Item Finder,,NOT_FOUND,,0.0
2-12-5,2,12,5,base4-104,Lass,,NOT_FOUND,,0.0
2-12-6,2,12,6,base4-105,Pokémon Breeder,,NOT_FOUND,,0.0
2-12-7,2,12,7,base4-106,Pokémon Trader,,NOT_FOUND,,0.0
2-12-8,2,12,8,base4-107,Scoop Up,,NOT_FOUND,,0.0
2-12-9,2,12,9,base4-108,Super Energy Removal,,NOT_FOUND,,0.0
2-13-1,2,13,1,base4-109,Defender,,NOT_FOUND,,0.0
2-13-2,2,13,2,base4-110,Energy Retrieval,,NOT_FOUND,,0.0
2-13-3,2,13,3,base4-111,Full Heal,,NOT_FOUND,,0.0
2-13-4,2,13,4,base4-112,Maintenance,,NOT_FOUND,,0.0
2-13-5,2,13,5,base4-113,PlusPower,,NOT_FOUND,,0.0
2-13-6,2,13,6,base4-114,Pokémon Center,,NOT_FOUND,,0.0
2-13-7,2,13,7,base4-115,Pokédex,,NOT_FOUND,,0.0
2-13-8,2,13,8,base4-116,Professor Oak,,NOT_FOUND,,0.0
2-13-9,2,13,9,base4-117,Super Potion,,NOT_FOUND,,0.0
2-14-1,2,14,1,base4-118,Bill,,NOT_FOUND,,0.0
2-14-2,2,14,2,base4-119,Energy Removal,,NOT_FOUND,,0.0
2-14-3,2,14,3,base4-120,Gust of Wind,,NOT_FOUND,,0.0
2-14-4,2,14,4,base4-121,Poké Ball,,NOT_FOUND,,0.0
2-14-5,2,14,5,base4-122,Potion,,NOT_FOUND,,0.0
2-14-6,2,14,6,base4-123,Switch,,NOT_FOUND,,0.0
2-14-7,2,14,7,base4-124,Double Colorless Energy,,NOT_FOUND,,0.0
2-14-8,2,14,8,base4-125,Fighting Energy,,NOT_FOUND,,0.0
2-14-9,2,14,9,base4-126,Fire Energy,,NOT_FOUND,,0.0
2-15-1,2,15,1,base4-127,Grass Energy,,NOT_FOUND,,0.0
2-15-2,2,15,2,base4-128,Lightning Energy,,NOT_FOUND,,0.0
2-15-3,2,15,3,base4-129,Psychic Energy,,NOT_FOUND,,0.0
2-15-4,2,15,4,base4-130,Water Energy,,NOT_FOUND,,0.0
2-15-5,2,15,5,base4-4,Charizard,,NOT_FOUND,,0.0
2-15-6,2,15,6,base4-2,Blastoise,,NOT_FOUND,,0.0
2-15-7,2,15,7,base4-18,Venusaur,,NOT_FOUND,,0.0
2-15-8,2,15,8,base4-10,Mewtwo,,NOT_FOUND,,0.0
2-15-9,2,15,9,base4-20,Zapdos,,NOT_FOUND,,0.0
2-16-1,2,16,1,base4-16,Raichu,,NOT_FOUND,,0.0
2-16-2,2,16,2,base4-17,Scyther,,NOT_FOUND,,0.0
2-16-3,2,16,3,base4-19,Wigglytuff,,NOT_FOUND,,0.0
2-16-4,2,16,4,base4-14,Pidgeot,,NOT_FOUND,,0.0
2-16-5,2,16,5,base4-12,Nidoqueen,,NOT_FOUND,,0.0
2-16-6,2,16,6,base4-11,Nidoking,,NOT_FOUND,,0.0
2-16-7,2,16,7,base4-1,Alakazam,,NOT_FOUND,,0.0
2-16-8,2,16,8,base4-7,Gyarados,,NOT_FOUND,,0.0
2-16-9,2,16,9,base4-3,Chansey,,NOT_FOUND,,0.0
2-17-1,2,17,1,base4-5,Clefable,,NOT_FOUND,,0.0
2-17-2,2,17,2,base4-87,Pikachu,,NOT_FOUND,,0.0
2-17-3,2,17,3,base4-67,Bulbasaur,,NOT_FOUND,,0.0
2-17-4,2,17,4,base4-69,Charmander,,NOT_FOUND,,0.0
2-17-5,2,17,5,base4-93,Squirtle,,NOT_FOUND,,0.0
2-17-6,2,17,6,base4-86,Pidgey,,NOT_FOUND,,0.0
2-17-7,2,17,7,base4-89,Rattata,,NOT_FOUND,,0.0
2-17-8,2,17,8,base4-6,Clefairy,,NOT_FOUND,,0.0
2-17-9,2,17,9,base4-50,Magikarp,,NOT_FOUND,,0.0
2-18-1,2,18,1,base4-65,Abra,,NOT_FOUND,,0.0
2-18-2,2,18,2,base4-78,Machop,,NOT_FOUND,,0.0
2-18-3,2,18,3,base4-79,Magnemite,,NOT_FOUND,,0.0
2-18-4,2,18,4,base4-75,Gastly,,NOT_FOUND,,0.0
2-18-5,2,18,5,base4-99,Vulpix,,NOT_FOUND,,0.0
2-18-6,2,18,6,base4-60,Ponyta,,NOT_FOUND,,0.0
2-18-7,2,18,7,base4-100,Weedle,,NOT_FOUND,,0.0
2-18-8,2,18,8,base4-68,Caterpie,,NOT_FOUND,,0.0
2-18-9,2,18,9,base4-88,Poliwag,,NOT_FOUND,,0.0
2-19-1,2,19,1,base4-57,Poliwhirl,,NOT_FOUND,,0.0
2-19-2,2,19,2,base4-44,Ivysaur,,NOT_FOUND,,0.0
2-19-3,2,19,3,base4-63,Wartortle,,NOT_FOUND,,0.0
2-19-4,2,19,4,base4-35,Charmeleon,,NOT_FOUND,,0.0
2-19-5,2,19,5,base4-46,Kadabra,,NOT_FOUND,,0.0
2-19-6,2,19,6,base4-49,Machoke,,NOT_FOUND,,0.0
2-19-7,2,19,7,base4-47,Kakuna,,NOT_FOUND,,0.0
2-19-8,2,19,8,base4-81,Metapod,,NOT_FOUND,,0.0
2-19-9,2,19,9,base4-22,Dragonair,,NOT_FOUND,,0.0
2-20-1,2,20,1,base4-38,Dratini,,NOT_FOUND,,0.0
2-20-2,2,20,2,base4-42,Growlithe,,NOT_FOUND,,0.0
2-20-3,2,20,3,base4-33,Arcanine,,NOT_FOUND,,0.0
2-20-4,2,20,4,base4-25,Electrode,,NOT_FOUND,,0.0
2-20-5,2,20,5,base4-24,Electabuzz,,NOT_FOUND,,0.0
2-20-6,2,20,6,base4-124,Double Colorless Energy,,NOT_FOUND,,0.0
2-20-7,2,20,7,base4-116,Professor Oak,,NOT_FOUND,,0.0
2-20-8,2,20,8,base4-118,Bill,,NOT_FOUND,,0.0
2-20-9,2,20,9,base4-119,Energy Removal,,NOT_FOUND,,0.0
